[-500. -500.]
[-500. -500.]
[-500. -500.]
[-197. -500.]
[-197. -500.]
[-500. -500.]
[-500. -500.]
[-399. -500.]
[-500. -500.]
[-500. -500.]
[-197. -500.]
[-500. -500.]
[-500. -399.]
[-197. -500.]
[-500. -399.]
[-500. -399.]
[-500. -197.]
[-500. -500.]
[-500. -500.]
[-399. -298.]
[-298. -500.]
[-500. -500.]
[-298. -500.]
[-298. -500.]
[-197. -500.]
[-500. -500.]
[-399. -500.]
[-399. -500.]
[-298. -500.]
[-500. -298.]
[-500. -500.]
[-399. -500.]
[-500. -500.]
[-197. -500.]
[-399. -399.]
[-500. -500.]
[-500. -298.]
[-197. -500.]
[-500. -500.]
[-500. -197.]
[-298. -500.]
[-500. -298.]
[-197. -500.]
[-500. -298.]
[-399. -197.]
[-399. -500.]
[-500. -500.]
[-399. -197.]
[-500. -399.]
[-500. -197.]
[-500. -197.]
[-197. -500.]
[-500. -399.]
[-197. -500.]
[-298. -298.]
[-399. -298.]
[-298. -399.]
[-298. -298.]
[-399. -500.]
[-500. -399.]
[-298. -500.]
[-500. -500.]
[-197. -399.]
[-500. -500.]
[-399. -500.]
[-298. -500.]
[-197. -500.]
[-500. -500.]
[-500. -197.]
[-500. -197.]
[-298. -298.]
[-500. -197.]
[-197. -399.]
[-500. -197.]
[-500. -500.]
[-399. -197.]
[-500. -500.]
[-399. -399.]
[-500. -500.]
[-298. -500.]
[-197. -399.]
[-500. -500.]
[-399. -399.]
[-500. -197.]
[-500. -500.]
[-500. -197.]
[-197. -500.]
[-500. -500.]
[-197. -500.]
[-399. -197.]
[-399. -197.]
[-500. -197.]
[-197. -500.]
[-298. -500.]
[-500. -500.]
[-197. -399.]
[-500. -298.]
[-298. -197.]
[-399. -298.]
[-298. -399.]
[-197. -399.]
[-500. -197.]
[-399. -298.]
[-298. -399.]
[-500. -500.]
[-500. -197.]
[-399. -500.]
[-500. -298.]
[-298. -298.]
[-500. -399.]
[-197. -399.]
[-197. -500.]
[-399. -197.]
[-500. -399.]
[-298. -197.]
[-197. -500.]
[-298. -197.]
[-500. -500.]
[-298. -197.]
[-500. -298.]
[-298. -500.]
[-500. -500.]
[-197. -399.]
[-399. -197.]
[-500. -500.]
[-399. -197.]
[-500. -197.]
[-500. -500.]
[-500. -399.]
[-500. -197.]
[-399. -298.]
[-197. -399.]
[-500. -298.]
[-500. -298.]
[-399. -500.]
[-500. -197.]
[-197. -298.]
[-399. -399.]
[-399. -399.]
[-298. -500.]
[-197. -500.]
[-298. -500.]
[-399. -399.]
[-399. -197.]
[-500. -500.]
[-500. -298.]
[-500. -500.]
[-399. -399.]
[-197. -399.]
[-500. -399.]
[-298. -298.]
[-399. -500.]
[-197. -500.]
[-500. -298.]
[-500. -298.]
[-298. -500.]
[-500. -399.]
[-197. -500.]
[-197. -500.]
[-500. -197.]
[-298. -298.]
[-197. -500.]
[-298. -197.]
[-197. -500.]
[-500. -197.]
[-197. -298.]
[-197. -399.]
[-298. -298.]
[-399. -500.]
[-399. -500.]
[-197. -399.]
[-500. -500.]
[-500. -298.]
[-197. -500.]
[-197. -500.]
[-500. -197.]
[-399. -500.]
[-500. -298.]
[-298. -197.]
[-298. -399.]
[-500. -500.]
[-298. -197.]
[-399. -197.]
[-500. -197.]
[-500. -197.]
[-298. -298.]
[-298. -500.]
[-399. -197.]
[-399. -197.]
[-298. -197.]
[-500. -298.]
[-197. -500.]
[-298. -399.]
[-197. -399.]
[-197. -500.]
[-197. -298.]
[-298. -197.]
[-197. -500.]
[-399. -500.]
[-500. -399.]
[-500. -197.]
[-500. -500.]
[-197. -399.]
[-197. -500.]
[-298. -399.]
[-399. -197.]
[-399. -399.]
[-39. -39.]
[-500. -197.]
[-500. -500.]
[-399. -197.]
[-399. -197.]
[-500. -197.]
[-197. -399.]
[-500. -197.]
[-500. -197.]
[-399. -197.]
[-399. -197.]
[-399. -197.]
[-399. -197.]
[-500. -399.]
[-399. -399.]
[-160.  -59.]
[-399. -197.]
[-500. -298.]
[-197. -399.]
[-197. -399.]
[-500. -298.]
[-399. -399.]
[-399. -197.]
[-500. -197.]
[-500. -500.]
[-197. -298.]
[-399. -197.]
[-399. -197.]
[-500. -500.]
[-197. -500.]
[-298. -197.]
[-399. -298.]
[-500. -500.]
[-500. -399.]
[-197. -399.]
[-197. -500.]
[-500. -197.]
[-500. -500.]
[-399. -298.]
[-399. -197.]
[-298. -197.]
[-399. -197.]
[-399. -298.]
[-298. -399.]
[-197. -399.]
[-197. -298.]
[-500. -197.]
[-500. -197.]
[-500. -197.]
[-500. -197.]
[-399. -197.]
[-500. -399.]
[-197. -500.]
[-399. -298.]
[-500. -399.]
[-399. -197.]
[-197. -399.]
[-399. -399.]
[-500. -399.]
[-197. -298.]
[-399. -197.]
[-500. -500.]
[-298. -197.]
[-298. -399.]
[-500. -197.]
[-197. -399.]
[-500. -298.]
[-197. -399.]
[-399. -197.]
[-399. -197.]
[-197. -500.]
[-500. -399.]
[-298. -197.]
[-4. -4.]
[-399. -197.]
[-399. -197.]
[-500. -399.]
[-500. -197.]
[-399. -197.]
[-399. -197.]
[-500. -197.]
[-197. -500.]
[-399. -197.]
[-500. -500.]
[-399. -197.]
[-298. -197.]
[-197. -500.]
[-500. -197.]
[-197. -399.]
[-197. -500.]
[-500. -500.]
[-500. -500.]
[-399. -197.]
[-298. -197.]
[-500. -399.]
[-298. -197.]
[-197. -399.]
[-197. -399.]
[-197. -399.]
[-500. -197.]
[-399. -197.]
[-500. -399.]
[-197. -298.]
[-500. -197.]
[-500. -399.]
[-399. -197.]
[-298. -197.]
[-197. -399.]
[-197. -399.]
[-399. -197.]
[-399. -197.]
[-500. -197.]
[-500. -197.]
[-500. -500.]
[-500. -298.]
[-197. -500.]
[-197. -399.]
[-197. -298.]
[-500. -500.]
[-197. -500.]
[-399. -500.]
[-197. -399.]
[-197. -500.]
[-399. -197.]
[-19.  82.]
[-197. -399.]
[-500. -298.]
[-500. -500.]
[-197. -399.]
[-197. -500.]
[-298. -197.]
[-197. -399.]
[-298. -197.]
[-298. -197.]
[-399. -197.]
[-500. -399.]
[-197. -500.]
[-500. -500.]
[-500. -500.]
[-399. -197.]
[-197. -500.]
[-399. -197.]
[-500. -500.]
[-500. -500.]
[-197. -500.]
[-197. -399.]
[-500. -500.]
[-500. -197.]
[-399. -399.]
[-399. -298.]
[-197. -500.]
[-197. -298.]
[-197. -399.]
[-197. -399.]
[-197. -500.]
[-399. -197.]
[-399. -298.]
[-197. -500.]
[-197. -500.]
[-197. -500.]
[-399. -197.]
[-500. -500.]
[-500. -399.]
[-500. -500.]
[-500. -500.]
[-197. -500.]
[-197. -399.]
[-399. -197.]
[-197. -500.]
[-500. -500.]
[-500. -197.]
[-500. -500.]
[-500. -197.]
[-298. -197.]
[-500. -399.]
[-399. -399.]
[-298. -500.]
[-197. -399.]
[-298. -197.]
[-399. -298.]
[-500. -399.]
[-500. -500.]
[-500. -399.]
[-399. -399.]
[-298. -197.]
[-500. -197.]
[-500. -500.]
[-500. -197.]
[-197. -500.]
[-197. -298.]
[-500. -399.]
[-298. -500.]
[-500. -500.]
[-197. -500.]
[-500. -399.]
[-197. -399.]
[-197. -399.]
[-500. -399.]
[-197. -500.]
[-399. -500.]
[-197. -500.]
[-399. -500.]
[-399. -399.]
[-298. -500.]
[-399. -197.]
